Close,High,Low,Open,Volume
BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
2225.323974609375,2242.246590385872,2221.0933206652508,2225.323974609375,24315000
2221.093505859375,2233.78546875,2212.632197265625,2212.632197265625,32338500
2238.01611328125,2246.477421838079,2225.3241504460066,2246.477421838079,29302500
2233.785400390625,2233.785400390625,2221.093437888406,2225.324092055812,25434500
2216.863037109375,2233.7856557132636,2199.940418505487,2199.940418505487,48681500
2221.093505859375,2233.78546875,2208.40154296875,2208.40154296875,40334000
2195.709716796875,2225.3242987189906,2195.709716796875,2221.0936441586887,54457000
2187.248046875,2212.6319700495646,2187.248046875,2204.1706623247096,108957500
2199.940185546875,2199.940185546875,2166.094951923077,2187.2482229379507,81651000
2199.940185546875,2208.4014939528247,2195.7095313439004,2208.4014939528247,36024000
2187.248046875,2204.1706623247096,2187.248046875,2204.1706623247096,29728000
2191.479248046875,2208.401867722913,2191.479248046875,2191.479248046875,27580500
2191.479248046875,2204.171212803903,2191.479248046875,2204.171212803903,46354500
2199.940185546875,2204.1708397498496,2195.7095313439004,2195.7095313439004,26134500
2204.1708984375,2208.401552753119,2187.2482811750237,2195.709589806262,36285500
2212.632080078125,2233.7853504421605,2204.170771932511,2208.4014260053177,73258000
2233.785400390625,2238.0160545580316,2208.401475386186,2208.401475386186,58654000
2254.9384765625,2267.630437969043,2238.015861353776,2238.015861353776,121011000
2225.323974609375,2267.630514050618,2204.1707048887533,2254.9385522182447,103089000
2233.785400390625,2238.0160545580316,2221.093437888406,2225.324092055812,49988500
2246.4775390625,2254.9388480608523,2225.32426656662,2229.554921065796,48230000
2254.9384765625,2254.9384765625,2233.785207551595,2242.246515155957,41599500
2263.40087890625,2271.8621906030958,2254.9395672094042,2267.631534754673,94142500
2259.16943359375,2263.400087963776,2242.246816113647,2259.16943359375,38816500
2284.553466796875,2284.553466796875,2259.169539388021,2263.400193956163,67046500
2352.24365234375,2369.1662685476617,2280.3225334771246,2288.7838415790807,136306000
2318.39892578125,2356.4748205477304,2263.4004111185563,2352.244165573677,83923500
2318.39892578125,2335.3215456774637,2309.9376158331434,2331.0908907034104,54060500
2335.321044921875,2352.243661189425,2284.5531961192255,2284.5531961192255,68609000
2326.860107421875,2352.244035866477,2309.937488458807,2348.01338112571,50540500
2356.47509765625,2356.47509765625,2318.399198412253,2331.091164826919,46471500
2352.24365234375,2360.704960445706,2343.7823442417944,2356.474306394728,58455500
2373.397216796875,2411.4731079754347,2364.935907646084,2369.1665622214796,90653500
2369.166259765625,2398.7808380126953,2369.166259765625,2377.6275678362167,30501000
2381.858642578125,2390.319952143234,2369.166678230462,2369.166678230462,47945000
2381.858642578125,2462.2410834466586,2369.166678230462,2403.011916490897,57782000
2377.627685546875,2424.164882239074,2377.627685546875,2419.9342279943285,25162000
2373.397216796875,2407.2424534000393,2364.935907646084,2381.8585259476663,55871500
2377.627685546875,2381.8583397916204,2356.4744143231483,2377.627685546875,46482000
2386.08935546875,2398.7813201254985,2369.1667359264184,2369.1667359264184,39573000
2381.858642578125,2398.7812617083428,2364.9360234479072,2364.9360234479072,63400500
2386.08935546875,2394.550665239916,2369.1667359264184,2369.1667359264184,91257500
2407.242919921875,2419.934886107755,2386.0896429454087,2394.5509537359953,105783500
2436.857177734375,2466.471761491564,2424.1652132670088,2428.3958680894643,100166000
2441.087890625,2466.4718201635615,2432.6265807788127,2453.7798553942807,61321500
2453.779541015625,2479.1634673019935,2449.5488866345636,2453.779541015625,63347500
2470.701904296875,2483.3938661340167,2453.7792885140198,2453.7792885140198,84722000
2432.62646484375,2449.5490837296197,2386.089262907609,2436.8571195652175,75837500
2441.087890625,2458.010510317374,2411.4733061633447,2436.8572357019066,56405500
2415.703125,2432.6257388353765,2407.2418180823115,2411.4724715411558,86270500
2403.01171875,2415.703682053257,2394.550409881162,2407.2423731844187,57496500
2386.08935546875,2415.70393966783,2377.628045697584,2403.0119750110816,79901500
2394.550537109375,2424.165119723802,2373.397263813356,2373.397263813356,60353500
2386.08935546875,2419.9345945534133,2386.08935546875,2415.70393966783,50729500
2407.242919921875,2411.4735753171685,2386.0896429454087,2386.0896429454087,52346500
2411.472900390625,2428.3955172354717,2398.78093775699,2419.9342088130484,58573500
2424.16455078125,2449.5484727789594,2398.7806287835406,2398.7806287835406,104343000
2445.31787109375,2462.24048611862,2436.8565635813147,2436.8565635813147,44297500
2462.24072265625,2483.393993469448,2453.7794143309707,2462.24072265625,64996000
2474.932861328125,2496.086133647169,2453.779589009081,2462.2408979366987,36811000
2458.010498046875,2491.855737262667,2449.5491882429274,2453.779843144901,71972500
2445.31787109375,2458.009832362403,2432.6259098250976,2449.5485248499676,69993000
2453.779541015625,2479.1634673019935,2445.318232253502,2445.318232253502,50985500
2508.77734375,2508.77734375,2483.3934245889545,2504.5466905564926,85598000
2508.77734375,2525.6999565240303,2500.316037362985,2517.238650137015,42093500
2504.547607421875,2525.7008811332084,2491.855643195075,2525.7008811332084,42424000
2568.0068359375,2614.544027363056,2500.316375682146,2504.5470294481056,71232500
2589.16064453125,2639.928500306373,2584.9299898833233,2618.7752270667384,58844000
2542.6240234375,2563.7773015027037,2521.4707453722963,2551.0853346635813,86916000
2551.084716796875,2572.237989738806,2529.931443854944,2551.084716796875,68708000
2546.853759765625,2576.468338367551,2529.9311434216675,2572.2376842815615,56706000
2542.6240234375,2551.0853346635813,2534.1627122114182,2542.6240234375,41635500
2529.931396484375,2559.5459780485735,2525.7007419752035,2538.3927055027175,80112500
